customer_id,customer_name,join_date,location
1001,Ellie,2022-01-02,Louisville
1002,Jaxon,2022-01-03,Tucson
1003,Gabriella,2022-01-04,Columbus
1004,Naomi,2022-01-05,Columbus
1005,Carolina,2022-01-06,Fresno
1006,Gemma,2022-01-07,Arlington
1007,Samantha,2022-01-08,Oklahoma City
1008,Blake,2022-01-09,Tucson
1009,Peyton,2022-01-10,Indianapolis
1010,Addison,2022-01-11,Virginia Beach
1011,Damian,2022-01-12,Albuquerque
1012,Jordan,2022-01-13,New Orleans
1013,Claire,2022-01-14,San Antonio
1014,Eli,2022-01-15,San Diego
1015,Emery,2022-01-16,Seattle
1016,Claire,2022-01-17,Louisville
1017,Layla,2022-01-18,Charlotte
1018,Vincent,2022-01-19,Boston
1019,Joseph,2022-01-20,Austin
1020,Jordan,2022-01-21,Boston
1021,Adeline,2022-01-22,Miami
1022,Hadley,2022-01-23,San Francisco
1023,Peyton,2022-01-24,Los Angeles
1024,Ryan,2022-01-25,Sacramento
1025,Everett,2022-01-26,Austin
1026,Dominic,2022-01-27,Fort Worth
1027,Zachary,2022-01-28,Louisville
1028,Henry,2022-01-29,San Diego
1029,Eli,2022-01-30,San Francisco
1030,Carter,2022-01-31,Louisville
1031,Oliver,2022-02-01,Long Beach
1032,Wyatt,2022-02-02,Las Vegas
1033,Skyler,2022-02-03,New Orleans
1034,Chloe,2022-02-04,Las Vegas
1035,Carolina,2022-02-05,Fresno
1036,Addison,2022-02-06,Miami
1037,Leonardo,2022-02-07,Albuquerque
1038,Brooklyn,2022-02-08,Virginia Beach
1039,Ivy,2022-02-09,Washington
1040,Harrison,2022-02-10,Oklahoma City
1041,Eli,2022-02-11,Seattle
1042,Skyler,2022-02-12,Tucson
1043,Stella,2022-02-13,Jacksonville
1044,Madison,2022-02-14,Sacramento
1045,David,2022-02-15,Portland
1046,Chloe,2022-02-16,Mesa
1047,Zoey,2022-02-17,San Jose
1048,Josiah,2022-02-18,Denver
1049,Gemma,2022-02-19,Portland
1050,Hazel,2022-02-20,Charlotte
1051,Austin,2022-02-21,Tucson
1052,Mila,2022-02-22,Virginia Beach
1053,Daniel,2022-02-23,Jacksonville
1054,Caleb,2022-02-24,Charlotte
1055,Addison,2022-02-25,Austin
1056,Victoria,2022-02-26,Colorado Springs
1057,Hunter,2022-02-27,Oakland
1058,Eliza,2022-02-28,Austin
1059,David,2022-03-01,Tucson
1060,Charlotte,2022-03-02,Arlington
1061,Leonardo,2022-03-03,Mesa
1062,Elias,2022-03-04,Milwaukee
1063,Layla,2022-03-05,El Paso
1064,Henry,2022-03-06,Austin
1065,Josiah,2022-03-07,Tucson
1066,Mateo,2022-03-08,Seattle
1067,Rose,2022-03-09,Detroit
1068,Hazel,2022-03-10,Boston
1069,Chloe,2022-03-11,Sacramento
1070,Hunter,2022-03-12,Sacramento
1071,Ivy,2022-03-13,Phoenix
1072,Henry,2022-03-14,Oklahoma City
1073,Eli,2022-03-15,San Jose
1074,Maeve,2022-03-16,San Francisco
1075,Daniel,2022-03-17,Las Vegas
1076,Madilyn,2022-03-18,Dallas
1077,Wyatt,2022-03-19,Virginia Beach
1078,Emilia,2022-03-20,Austin
1079,Sebastian,2022-03-21,Las Vegas
1080,Matthew,2022-03-22,San Jose
1081,Vivian,2022-03-23,Albuquerque
1082,Amelia,2022-03-24,Chicago
1083,Gianna,2022-03-25,Mesa
1084,Lucas,2022-03-26,Austin
1085,James,2022-03-27,Charlotte
1086,Adeline,2022-03-28,San Diego
1087,Benjamin,2022-03-29,Miami
1088,Sebastian,2022-03-30,Washington
1089,Aaron,2022-03-31,Milwaukee
1090,Cole,2022-04-01,Tucson
1091,Asher,2022-04-02,Miami
1092,Vivian,2022-04-03,Washington
1093,Evan,2022-04-04,Baltimore
1094,Stella,2022-04-05,Baltimore
1095,Bennett,2022-04-06,Miami
1096,Blake,2022-04-07,Portland
1097,Violet,2022-04-08,San Antonio
1098,Lucas,2022-04-09,Virginia Beach
1099,Everett,2022-04-10,San Diego
1100,Peyton,2022-04-11,Denver
1101,Harper,2022-04-12,Detroit
1102,Parker,2022-04-13,Minneapolis
1103,Ian,2022-04-14,Denver
1104,Emery,2022-04-15,Boston
1105,Jaxon,2022-04-16,Tucson
1106,Victoria,2022-04-17,Baltimore
1107,Jordan,2022-04-18,Miami
1108,Elijah,2022-04-19,Charlotte
1109,Mia,2022-04-20,Oakland
1110,Nathan,2022-04-21,Washington
1111,Dominic,2022-04-22,New Orleans
1112,Everett,2022-04-23,New York
1113,Sadie,2022-04-24,Omaha
1114,Benjamin,2022-04-25,Austin
1115,Ezra,2022-04-26,Louisville
1116,Liliana,2022-04-27,Phoenix
1117,Serenity,2022-04-28,New York
1118,Brooklyn,2022-04-29,Baltimore
1119,James,2022-04-30,Minneapolis
1120,Willow,2022-05-01,Philadelphia
1121,James,2022-05-02,New Orleans
1122,Chloe,2022-05-03,Las Vegas
1123,Vivian,2022-05-04,Minneapolis
1124,Athena,2022-05-05,Milwaukee
1125,Riley,2022-05-06,Raleigh
1126,Alexander,2022-05-07,Washington
1127,Maya,2022-05-08,Tampa
1128,Isabelle,2022-05-09,Chicago
1129,Ezra,2022-05-10,New Orleans
1130,Sawyer,2022-05-11,Nashville
1131,Nathaniel,2022-05-12,Oakland
1132,Skylar,2022-05-13,Tucson
1133,Addison,2022-05-14,El Paso
1134,Nova,2022-05-15,Kansas City
1135,Mason,2022-05-16,Baltimore
1136,Evelyn,2022-05-17,Tucson
1137,Ella,2022-05-18,Las Vegas
1138,David,2022-05-19,Colorado Springs
1139,Grayson,2022-05-20,Long Beach
1140,Logan,2022-05-21,Jacksonville
1141,Thomas,2022-05-22,Baltimore
1142,Kennedy,2022-05-23,Milwaukee
1143,Daniel,2022-05-24,El Paso
1144,Gabriel,2022-05-25,Portland
1145,Jacob,2022-05-26,Omaha
1146,Alexander,2022-05-27,Tulsa
1147,Rose,2022-05-28,Dallas
1148,Mia,2022-05-29,Raleigh
1149,Samantha,2022-05-30,Colorado Springs
1150,Gabriel,2022-05-31,Albuquerque
1151,Jackson,2022-06-01,Oakland
1152,Ariana,2022-06-02,Los Angeles
1153,Aurora,2022-06-03,Colorado Springs
1154,Savannah,2022-06-04,Memphis
1155,Mason,2022-06-05,Nashville
1156,Thomas,2022-06-06,Tampa
1157,Avery,2022-06-07,Austin
1158,Nicholas,2022-06-08,Dallas
1159,Freya,2022-06-09,Raleigh
1160,James,2022-06-10,Columbus
